id,DIC
1455,2173.3904
1456,2198.547
1457,2321.3804
1458,1995.6548
1459,2149.158
1460,2040.1224
1461,2162.7607
1462,2192.8708
1463,2268.7742
1464,2309.0918
1465,2157.6624
1466,2318.003
1467,2264.3257
1468,2213.4392
1469,2277.5684
1470,2326.5908
1471,2221.7646
1472,2267.873
1473,2316.3572
1474,2088.6663
1475,2033.0195
1476,2007.1423
1477,2027.2896
1478,2202.48
1479,2319.8145
1480,2033.4515
1481,2231.7708
1482,2144.573
1483,2227.9775
1484,2166.6235
1485,2223.8823
1486,2198.8289
1487,2311.6023
1488,2004.5879
1489,2312.5168
1490,1997.5231
1491,2132.547
1492,2223.9912
1493,1984.2168
1494,2025.2881
1495,2345.8088
1496,1966.109
1497,2004.7526
1498,2259.8416
1499,2130.7258
1500,1991.7311
1501,2207.3015
1502,2284.3315
1503,2003.3787
1504,2312.7449
1505,2213.5237
1506,2261.698
1507,2127.3794
1508,2253.8015
1509,2084.2844
1510,2003.342
1511,2279.7432
1512,2316.284
1513,2004.6373
1514,2251.0576
1515,2021.0835
1516,2188.2256
1517,2021.3741
1518,2130.6487
1519,2009.2021
1520,2171.0198
1521,2250.7217
1522,2311.306
1523,2011.7958
1524,2268.158
1525,2313.0173
1526,2007.3507
1527,2137.497
1528,2070.9143
1529,2323.2788
1530,2028.1638
1531,2029.6399
1532,2185.4495
1533,2208.2393
1534,2265.3018
1535,2271.6816
1536,2311.8303
1537,2003.355
1538,2312.4885
1539,2005.8483
1540,2194.8984
1541,2268.4888
1542,2307.354
1543,1999.7972
1544,2168.1855
1545,2073.4475
1546,2177.241
1547,2223.3098
1548,2274.7046
1549,2338.336
1550,2112.614
1551,2310.3643
1552,2009.7195
1553,2210.2146
1554,2235.0872
1555,2262.173
1556,2238.3206
1557,2313.103
1558,2061.6843
1559,2235.3152
1560,2270.5032
1561,2001.1895
1562,2005.4229
1563,2154.053
1564,2221.3591
1565,2314.0593
1566,2231.4016
1567,2195.2358
1568,2324.348
1569,2229.3403
1570,2275.1636
1571,2185.9917
1572,2128.455
1573,2282.247
1574,2323.0952
1575,2133.158
1576,2190.697
1577,2246.5093
1578,2304.6997
1579,2010.2595
1580,2005.9
1581,2222.7761
1582,2098.8652
1583,2279.6382
1584,2094.5845
1585,2262.2556
1586,2089.5703
1587,2161.2063
1588,2211.0198
1589,2239.9597
1590,2275.76
1591,2001.5468
1592,2149.7102
1593,2271.1064
1594,2049.86
1595,2235.4885
1596,2172.249
1597,2076.3726
1598,2214.6453
1599,2240.7283
1600,2056.2817
1601,2159.721
1602,2093.774
