id,DIC
1455,2173.3516
1456,2198.0679
1457,2320.7576
1458,1995.0286
1459,2149.0535
1460,2039.6104
1461,2162.5254
1462,2192.3367
1463,2269.141
1464,2308.9766
1465,2157.599
1466,2318.2148
1467,2263.8804
1468,2213.2542
1469,2278.5256
1470,2326.5903
1471,2222.1655
1472,2268.3018
1473,2316.5413
1474,2089.263
1475,2032.8259
1476,2007.2352
1477,2026.3932
1478,2201.8164
1479,2319.3474
1480,2033.379
1481,2231.763
1482,2144.741
1483,2228.2651
1484,2166.6514
1485,2224.0286
1486,2199.2256
1487,2311.221
1488,2004.6615
1489,2312.788
1490,1997.8035
1491,2132.076
1492,2223.9294
1493,1984.0284
1494,2024.8546
1495,2345.6545
1496,1965.3495
1497,2004.695
1498,2260.2512
1499,2130.7524
1500,1991.6486
1501,2207.416
1502,2284.6091
1503,2002.5803
1504,2313.3967
1505,2214.024
1506,2261.904
1507,2127.2546
1508,2253.7961
1509,2083.9568
1510,2003.1138
1511,2278.6602
1512,2314.5203
1513,2002.6127
1514,2250.998
1515,2021.6987
1516,2187.7463
1517,2022.7084
1518,2129.9768
1519,2009.0359
1520,2170.7844
1521,2250.9226
1522,2311.3499
1523,2011.7292
1524,2268.768
1525,2313.6692
1526,2007.3872
1527,2137.4946
1528,2071.1072
1529,2322.9917
1530,2028.3351
1531,2027.8846
1532,2185.205
1533,2208.1726
1534,2265.737
1535,2271.763
1536,2311.449
1537,2003.7062
1538,2312.7598
1539,2005.7917
1540,2194.37
1541,2268.8896
1542,2306.9187
1543,1999.7487
1544,2168.1223
1545,2073.716
1546,2177.0747
1547,2223.302
1548,2275.524
1549,2337.7637
1550,2112.5103
1551,2310.042
1552,2009.589
1553,2210.642
1554,2234.8667
1555,2261.8625
1556,2238.4258
1557,2313.4155
1558,2061.7598
1559,2234.881
1560,2271.178
1561,2001.0013
1562,2005.1669
1563,2154.0505
1564,2221.61
1565,2314.1897
1566,2231.7703
1567,2194.9214
1568,2324.0884
1569,2229.6567
1570,2275.754
1571,2186.0627
1572,2128.2095
1573,2282.706
1574,2323.0781
1575,2132.8833
1576,2190.396
1577,2246.8596
1578,2304.4468
1579,2011.5625
1580,2006.651
1581,2223.5852
1582,2099.0686
1583,2279.962
1584,2094.197
1585,2262.9272
1586,2090.5464
1587,2161.903
1588,2211.17
1589,2240.6704
1590,2277.2153
1591,2002.6967
1592,2149.4658
1593,2271.6204
1594,2049.4392
1595,2235.15
1596,2172.259
1597,2076.526
1598,2214.8875
1599,2240.8313
1600,2056.3833
1601,2159.6428
1602,2092.8845
1603,2351.0225
1604,2030.5427
1605,2160.0193
1606,2281.1453
1607,1992.6829
1608,2226.9094
1609,2033.7372
1610,2269.9048
1611,2319.4526
1612,2074.465
1613,2214.3716
1614,2310.4675
1615,2221.2786
1616,2010.1025
1617,2225.6343
1618,2309.192
1619,2348.7961
1620,2192.1162
1621,1994.04
1622,2121.0488
1623,2260.5054
1624,2010.2329
1625,2117.9036
1626,2226.638
1627,2316.7585
1628,2018.6831
1629,2021.776
1630,2162.1987
1631,2277.9988
1632,2320.1316
1633,2011.3502
1634,2037.3917
1635,2115.862
1636,2239.3813
1637,2269.2383
1638,2151.067
1639,2150.866
1640,2206.344
1641,2004.849
1642,2060.313
1643,2170.4526
1644,2082.1355
1645,2207.223
1646,2018.6967
1647,2193.9143
1648,2219.6128
1649,2214.557
1650,2008.2003
1651,2232.7654
1652,2239.6643
1653,2219.4258
1654,2247.021
1655,2181.265
1656,2233.3171
1657,2005.0005
1658,2113.0305
1659,2345.9722
1660,2179.9514
1661,2269.8335
1662,2102.2031
1663,2289.571
1664,1990.7273
1665,1993.8289
1666,2234.2092
1667,2295.6584
1668,2322.4023
1669,2032.1572
1670,2212.9941
1671,2290.8274
1672,2317.6658
1673,2005.1213
1674,2314.7607
1675,2060.3508
1676,2144.7285
1677,2203.2773
1678,2307.7307
1679,2234.3982
1680,1998.171
1681,2200.1948
1682,2078.9673
1683,2264.719
1684,2351.8347
1685,2022.182
1686,2081.1646
1687,2003.7273
1688,2146.2593
1689,2239.6013
1690,2002.9927
1691,2090.7878
1692,2185.751
1693,2000.3541
1694,2001.4183
1695,2260.6853
1696,2011.6732
1697,2187.9204
1698,2228.9707
1699,2262.6282
1700,2139.776
1701,2021.1007
1702,2184.104
1703,2036.0115
1704,2209.9973
1705,2130.9055
1706,2272.802
1707,2031.4735
1708,2014.9939
1709,2073.6362
1710,2131.052
1711,2260.2568
1712,2009.0557
1713,2012.427
1714,2264.8372
1715,2228.9338
1716,2340.9536
1717,2134.4968
1718,2275.8516
1719,2061.4143
1720,2174.593
1721,2248.7573
1722,2045.1177
1723,2267.4558
1724,2006.9185
1725,2310.4023
1726,2070.1614
1727,2106.822
1728,2240.2527
1729,2112.8184
1730,2182.1345
1731,2256.0173
1732,2244.6628
1733,2234.8975
1734,2315.7327
1735,2115.7422
1736,2193.643
1737,2018.0587
1738,2087.0037
1739,2207.2166
1740,2073.0334
1741,2003.9581
1742,2238.0066
1743,2029.1471
1744,2035.7462
1745,2049.8765
1746,1998.9718
1747,2245.641
1748,2042.2574
1749,2027.3612
1750,2028.3745
1751,2317.7869
1752,2269.9663
1753,2007.5771
1754,2009.4098
1755,2252.453
1756,2187.2034
1757,2310.749
1758,2009.8312
1759,2007.618
1760,2010.6996
1761,2014.0411
1762,2015.1301
1763,2037.6599
1764,2154.832
1765,2251.3403
1766,2045.2109
1767,2017.6531
1768,2036.2122
1769,2247.5708
1770,2313.415
1771,2014.5327
1772,2207.4146
1773,2232.018
1774,2009.5596
1775,2206.2864
1776,2207.3025
1777,2008.8472
1778,2009.1163
1779,2308.0251
1780,2101.3147
1781,2151.1973
1782,2118.9512
1783,2166.811
1784,2012.4384
1785,2019.6912
1786,2157.3977
1787,2025.6582
1788,2266.2131
1789,2024.6604
1790,2223.2974
1791,2315.996
1792,2007.9122
1793,2237.797
1794,2344.66
1795,2150.6624
1796,1994.1354
1797,2003.6694
1798,2227.8848
1799,2020.0664
1800,2233.7295
1801,2232.3835
1802,2003.9563
1803,2000.8959
1804,2011.1459
1805,2035.7577
1806,2059.221
1807,2002.9711
1808,2043.3834
1809,2188.4165
1810,2013.8553
1811,2245.1895
1812,1999.9412
1813,2049.2097
1814,2240.7954
1815,2032.9294
1816,2227.7856
1817,2296.5688
1818,2003.6785
1819,2012.451
1820,2053.3943
1821,2137.0618
1822,2310.3154
1823,2115.876
1824,2203.6863
